DrugBankID,DiseaseID
DB00997,D000075222
DB00783,D000075222
DB00773,D000075222
DB03843,D000075222
DB00544,D000075222
DB01128,D000075222
DB00997,D013964
DB00783,D013964
DB00773,D013964
DB03843,D013964
DB00544,D013964
DB01128,D013964
DB00997,D009133
DB01128,D009133
DB00997,D000077274
DB00783,D000077274
DB00773,D000077274
DB03843,D000077274
DB00544,D000077274
DB01128,D000077274
DB00997,D010003
DB01128,D010003
DB00997,D007938
DB00783,D007938
DB00773,D007938
DB03843,D007938
DB00544,D007938
DB01128,D007938
DB00997,D020371
DB00783,D020371
DB00773,D020371
DB00544,D020371
DB01128,D020371
DB00997,D006402
DB00783,D006402
DB00773,D006402
DB03843,D006402
DB00544,D006402
DB00997,D000086382
DB01128,D000086382
DB00997,D010911
DB00783,D010911
DB00773,D010911
DB03843,D010911
DB00544,D010911
DB01128,D010911
DB00997,D011085
DB00783,D011085
DB00773,D011085
DB03843,D011085
DB00544,D011085
DB01128,D011085
DB00997,D006528
DB01128,D006528
DB00997,D000077195
DB01128,D000077195
DB00997,D000077273
DB01128,D000077273
DB00997,D005910
DB01128,D005910
DB00997,D012509
DB00783,D012509
DB00773,D012509
DB03843,D012509
DB00544,D012509
DB01128,D012509
DB00997,D009203
DB01128,D009203
DB00755,D012559
DB00907,D012559
DB00853,D012559
DB00755,D010182
DB00783,D010182
DB00907,D010182
DB03843,D010182
DB00544,D010182
DB01169,D010182
DB00169,D010182
DB00853,D010182
DB00755,D011230
DB00783,D011230
DB00907,D011230
DB03843,D011230
DB00544,D011230
DB01169,D011230
DB00169,D011230
DB00853,D011230
DB00755,D002583
DB00907,D002583
DB00853,D002583
DB00755,D009765
DB00907,D009765
DB00853,D009765
DB00755,D007333
DB00783,D007333
DB00907,D007333
DB03843,D007333
DB00544,D007333
DB01169,D007333
DB00169,D007333
DB00853,D007333
DB00755,D001008
DB00783,D001008
DB00907,D001008
DB03843,D001008
DB00544,D001008
DB01169,D001008
DB00169,D001008
DB00853,D001008
DB00755,D001523
DB00783,D001523
DB00907,D001523
DB03843,D001523
DB00544,D001523
DB01169,D001523
DB00169,D001523
DB00853,D001523
DB00755,D010922
DB00783,D010922
DB00907,D010922
DB03843,D010922
DB00544,D010922
DB01169,D010922
DB00169,D010922
DB00853,D010922
DB00755,D019970
DB00783,D019970
DB00907,D019970
DB03843,D019970
DB00544,D019970
DB01169,D019970
DB00169,D019970
DB00853,D019970
DB00907,D018218
DB00755,D000795
DB00755,D011225
DB00907,D011225
DB00853,D011225
DB00755,D001943
DB00907,D001943
DB00853,D001943
DB00755,D011658
DB00783,D011658
DB00907,D011658
DB03843,D011658
DB00544,D011658
DB01169,D011658
DB00169,D011658
DB00853,D011658
DB00755,D015179
DB00907,D015179
DB00853,D015179
DB00755,D000081029
DB00907,D000081029
DB00755,D000077216
DB00907,D000077216
DB00853,D000077216
DB00755,D019636
DB00783,D019636
DB00907,D019636
DB03843,D019636
DB00544,D019636
DB01169,D019636
DB00169,D019636
DB00853,D019636
DB00755,D009203
DB00907,D009203
DB00853,D009203
DB00755,D001289
DB00783,D001289
DB00907,D001289
DB03843,D001289
DB00544,D001289
DB01169,D001289
DB00853,D001289
DB00755,D004314
DB00783,D004314
DB00907,D004314
DB03843,D004314
DB00544,D004314
DB01169,D004314
DB00169,D004314
DB00853,D004314
DB00755,D000077195
DB00907,D000077195
DB00853,D000077195
DB00755,D009190
DB00907,D009190
DB00853,D009190
DB00755,D013274
DB00907,D013274
DB00853,D013274
DB00755,D000544
DB00907,D000544
DB00853,D000544
DB00755,D003924
DB00907,D003924
DB00853,D003924
DB00755,D000077273
DB00907,D000077273
DB00853,D000077273
DB00755,D002296
DB00853,D002296
DB00755,D002779
DB00907,D002779
DB00853,D002779
DB00755,D003922
DB00783,D003922
DB00907,D003922
DB03843,D003922
DB00544,D003922
DB01169,D003922
DB00169,D003922
DB00853,D003922
DB00755,D008107
DB00783,D008107
DB00907,D008107
DB03843,D008107
DB00544,D008107
DB01169,D008107
DB00169,D008107
DB00853,D008107
DB00755,D008268
DB00907,D008268
DB00853,D008268
DB00755,D011471
DB00907,D011471
DB00853,D011471
DB00755,D012173
DB00783,D012173
DB00907,D012173
DB03843,D012173
DB01169,D012173
DB00853,D012173
DB00755,D002318
DB00907,D002318
DB00853,D002318
DB00755,D002386
DB00907,D002386
DB00853,D002386
DB00755,D001172
DB00907,D001172
DB00853,D001172
DB00755,D000163
DB00783,D000163
DB00907,D000163
DB03843,D000163
DB00544,D000163
DB01169,D000163
DB00169,D000163
DB00755,D006509
DB00783,D006509
DB00907,D006509
DB03843,D006509
DB00544,D006509
DB01169,D006509
DB00169,D006509
DB00853,D006509
DB00755,D006528
DB00907,D006528
DB00853,D006528
DB00783,D058249
DB03843,D058249
DB01169,D058249
DB00755,D009101
DB00907,D009101
DB00853,D009101
DB00755,D010051
DB00907,D010051
DB00853,D010051
DB00755,D020345
DB00783,D020345
DB00907,D020345
DB03843,D020345
DB00544,D020345
DB01169,D020345
DB00169,D020345
DB00853,D020345
DB00755,D014376
DB00755,D004806
DB00783,D004806
DB00907,D004806
DB01169,D004806
DB00169,D004806
DB00755,D018805
DB00907,D018805
DB00853,D018805
DB00755,D005922
DB00783,D005922
DB00907,D005922
DB03843,D005922
DB00544,D005922
DB01169,D005922
DB00169,D005922
DB00853,D005922
DB00755,D002289
DB00907,D002289
DB00853,D002289
DB00755,D012128
DB00783,D012128
DB00907,D012128
DB03843,D012128
DB00544,D012128
DB01169,D012128
DB00169,D012128
DB00853,D012128
DB00755,D001249
DB00907,D001249
DB00853,D001249
DB00755,D008175
DB00907,D008175
DB00853,D008175
DB00755,D005355
DB00783,D005355
DB00907,D005355
DB03843,D005355
DB00544,D005355
DB01169,D005355
DB00169,D005355
DB00853,D005355
DB00755,D001327
DB00783,D001327
DB00907,D001327
DB03843,D001327
DB00544,D001327
DB01169,D001327
DB00169,D001327
DB00853,D001327
DB00755,D055370
DB00783,D055370
DB00907,D055370
DB03843,D055370
DB00544,D055370
DB01169,D055370
DB00169,D055370
DB00853,D055370
DB00755,D000437
DB00783,D000437
DB00907,D000437
DB03843,D000437
DB00544,D000437
DB01169,D000437
DB00169,D000437
DB00853,D000437
DB00755,D005910
DB00907,D005910
DB00853,D005910
DB00755,D005909
DB00783,D005909
DB00907,D005909
DB03843,D005909
DB00544,D005909
DB01169,D005909
DB00169,D005909
DB00853,D005909
DB00755,D000077277
DB00907,D000077277
DB00853,D000077277
DB00755,D011085
DB00907,D011085
DB01169,D011085
DB00169,D011085
DB00853,D011085
DB00755,D012595
DB00783,D012595
DB00907,D012595
DB03843,D012595
DB00544,D012595
DB01169,D012595
DB00169,D012595
DB00853,D012595
DB00755,D058065
DB00783,D058065
DB00907,D058065
DB03843,D058065
DB00544,D058065
DB01169,D058065
DB00169,D058065
DB00853,D058065
DB00755,D008171
DB00331,D004314
DB00755,D020961
DB00783,D020961
DB03843,D020961
DB00331,D020961
DB00755,D008545
DB00755,D011832
DB00783,D011832
DB03843,D011832
DB00331,D011832
DB00755,D010003
DB00755,D050197
DB00783,D050197
DB03843,D050197
DB00331,D050197
DB00755,D008269
DB00783,D008269
DB03843,D008269
DB00331,D008269
DB00755,D003928
DB00755,D016403
DB00783,D016403
DB03843,D016403
DB00331,D016403
DB00755,D001661
DB00755,D002545
DB00783,D002545
DB03843,D002545
DB00331,D002545
DB00755,D002972
DB00783,D002972
DB03843,D002972
DB00331,D002972
DB00755,D054990
DB00783,D054990
DB03843,D054990
DB00331,D054990
DB00755,D016889
DB00783,D016889
DB03843,D016889
DB00331,D016889
DB00755,D009157
DB00783,D009157
DB03843,D009157
DB00331,D009157
DB00755,D000026
DB00783,D000026
DB03843,D000026
DB00331,D000026
DB00755,D064129
DB00783,D064129
DB03843,D064129
DB00755,D006973
DB00783,D006973
DB03843,D006973
DB00331,D006973
DB00755,D058226
DB00783,D058226
DB03843,D058226
DB00331,D058226
DB00755,D000077192
DB00783,D000077192
DB03843,D000077192
DB00331,D000077192
DB00755,D015212
DB00783,D015212
DB03843,D015212
DB00331,D015212
DB00755,D001749
DB00755,D013981
DB00755,D020388
DB00783,D020388
DB03843,D020388
DB00331,D020388
DB00755,D015428
DB00783,D015428
DB03843,D015428
DB00331,D015428
DB00755,D008659
DB00783,D008659
DB00331,D008659
DB00755,D017379
DB00783,D017379
DB03843,D017379
DB00331,D017379
DB00755,D007246
DB00755,D029424
DB00755,D010190
DB00783,D010190
DB03843,D010190
DB00331,D010190
DB00755,D009062
DB00783,D009062
DB03843,D009062
DB00331,D009062
DB03843,D011671
DB00755,C535608
DB00783,C535608
DB03843,C535608
DB00755,D014029
DB00783,D014029
DB03843,D014029
DB00331,D014029
DB00755,D015433
DB00755,D002292
DB00783,D002292
DB03843,D002292
DB00331,D002292
DB00755,D002295
DB00783,D002295
DB03843,D002295
DB00331,D002295
DB00755,D007938
DB00331,D007938
DB00331,D007249
DB00783,D000083242
DB00773,D000083242
DB03843,D000083242
DB00331,D000083242
DB00773,D001327
DB00331,D001327
DB00783,D000236
DB00773,D000236
DB03843,D000236
DB00331,D000236
DB00783,C537017
DB00773,C537017
DB00783,D060825
DB00773,D060825
DB03843,D060825
DB00331,D060825
DB00783,C536494
DB03843,C536494
DB00783,D014397
DB03843,D014397
DB00331,D014397
DB00783,D009103
DB00773,D009103
DB03843,D009103
DB00331,D009103
DB00773,D011832
DB00783,D003424
DB00773,D003424
DB03843,D003424
DB00331,D003424
DB00783,D013921
DB00773,D013921
DB03843,D013921
DB00331,D013921
DB00783,D011655
DB00773,D011655
DB03843,D011655
DB00331,D011655
DB00783,D009442
DB00773,D009442
DB03843,D009442
DB00783,D009456
DB00783,D015535
DB00773,D015535
DB03843,D015535
DB00331,D015535
DB00331,D000077274
DB00783,D053201
DB00773,D053201
DB03843,D053201
DB00331,D053201
DB00467,D015464
DB00783,D015464
DB00773,D015464
DB03843,D015464
DB00331,D015464
DB00783,D012859
DB03843,D012859
DB00331,D012859
DB00783,D003324
DB00773,D003324
DB03843,D003324
DB00331,D003324
DB00783,D004715
DB00773,D004715
DB03843,D004715
DB00331,D004715
DB00773,D000077192
DB00467,D054198
DB00783,D054198
DB00773,D054198
DB03843,D054198
DB00331,D054198
DB00773,D005922
DB00331,D005922
DB00783,D003327
DB00773,D003327
DB03843,D003327
DB00331,D003327
DB00783,D004833
DB00773,D004833
DB03843,D004833
DB00331,D004833
DB00467,D004827
DB00783,D004827
DB00773,D004827
DB03843,D004827
DB00331,D004827
DB00773,D050197
DB00783,D005317
DB00773,D005317
DB03843,D005317
DB00331,D005317
DB00783,D006976
DB00773,D006976
DB03843,D006976
DB00331,D006976
DB00783,D006561
DB00773,D006561
DB00783,D016543
DB00773,D016543
DB03843,D016543
DB00331,D016543
DB00783,D015470
DB00773,D015470
DB03843,D015470
DB00331,D015470
DB00773,D005355
DB00331,D005355
DB00783,D008527
DB00773,D008527
DB03843,D008527
DB00331,D008527
DB03843,D059226
DB00467,D002294
DB00783,D002294
DB00773,D002294
DB03843,D002294
DB00331,D002294
DB00783,D052016
DB00773,D052016
DB03843,D052016
DB00331,D052016
DB00331,D055959
DB00467,D065626
DB00783,D065626
DB00773,D065626
DB03843,D065626
DB00331,D065626
DB00783,D009447
DB00773,D009447
DB03843,D009447
DB00331,D009447
DB00331,D012164
DB01262,D000544
DB01262,D008113
DB00783,D006223
DB00773,D006223
DB03843,D006223
DB00544,D006223
DB01169,D006223
DB01262,D006223
DB00783,D016393
DB00773,D016393
DB03843,D016393
DB00544,D016393
DB01169,D016393
DB01262,D016393
DB00783,C535531
DB00773,C535531
DB01262,C535531
DB01169,D013964
DB01262,D013964
DB00783,D063647
DB00773,D063647
DB03843,D063647
DB00544,D063647
DB01169,D063647
DB00783,D002446
DB00773,D002446
DB03843,D002446
DB00544,D002446
DB01169,D002446
DB01262,D002446
DB00544,C562602
DB00783,D014277
DB00773,D014277
DB03843,D014277
DB00544,D014277
DB01169,D014277
DB01262,D014277
DB01262,D001749
DB00544,D050197
DB01169,D050197
DB01262,D050197
DB01262,D010024
DB01262,D008175
DB00773,D002292
DB00544,D002292
DB01169,D002292
DB01262,D002292
DB01262,D015179
DB00773,D005909
DB01262,D005909
DB00783,D002280
DB00773,D002280
DB03843,D002280
DB00544,D002280
DB01169,D002280
DB01262,D002280
DB01262,D006528
DB01262,D011225
DB00783,D017545
DB03843,D017545
DB00544,D017545
DB01169,D017545
DB01262,D017545
DB01262,D000077216
DB00544,D000083242
DB01169,D000083242
DB01262,D000083242
DB00783,D010534
DB00773,D010534
DB03843,D010534
DB00544,D010534
DB01169,D010534
DB01262,D010534
DB01262,D013274
DB00783,D015427
DB00773,D015427
DB03843,D015427
DB00544,D015427
DB01169,D015427
DB01262,D015427
DB00544,D005317
DB01169,D005317
DB01262,D005317
DB00783,D014605
DB00773,D014605
DB03843,D014605
DB00544,D014605
DB01169,D014605
DB01262,D014605
DB01262,D018281
DB00783,D017086
DB00773,D017086
DB03843,D017086
DB00544,D017086
DB01169,D017086
DB01262,D017086
DB01262,D002386
DB00783,D003072
DB00773,D003072
DB03843,D003072
DB00544,D003072
DB01169,D003072
DB01262,D003072
DB00783,D014929
DB00783,D018269
DB00773,D006973
DB00544,D006973
DB01169,D006973
DB01262,D006973
DB01169,D012164
DB01262,D012164
DB00783,D005706
DB00773,D005706
DB03843,D005706
DB00544,D005706
DB01169,D005706
DB01262,D005706
DB00773,D016403
DB00544,D016403
DB01169,D016403
DB01262,D016403
DB01262,D007246
DB01262,D002658
DB01262,D006323
DB01169,D000077274
DB01262,D000077274
DB01262,D012516
DB01262,D008223
DB01262,D015459
DB01262,D003110
DB00467,D000860
DB00783,D000860
DB00773,D000860
DB03843,D000860
DB01262,D000860
DB00783,D002278
DB00773,D002278
DB03843,D002278
DB01262,D002278
DB01262,D011085
DB01262,D009203
DB00783,D007511
DB00773,D007511
DB03843,D007511
DB01262,D007511
DB00783,D013272
DB03843,D013272
DB01262,D013272
DB00783,D008288
DB00773,D008288
DB03843,D008288
DB01262,D008288
DB00783,D014890
DB00773,D014890
DB00783,D003876
DB00773,D003876
DB03843,D003876
DB01262,D003876
DB00773,D016889
DB01262,D016889
DB01262,D000077192
DB01262,D001943
DB01262,D001249
DB01262,D004715
DB01262,D002583
DB01262,D006526
DB00467,D002292
DB01262,D003924
DB01262,D006332
DB00783,D065627
DB00773,D065627
DB03843,D065627
DB01262,D065627
DB00783,D010001
DB03843,D010001
DB01262,D010001
DB01262,D003928
DB00783,D007248
DB00773,D007248
DB03843,D007248
DB01262,D007248
DB00783,D003323
DB00773,D003323
DB03843,D003323
DB01262,D003323
DB00783,D009080
DB03843,D009080
DB01262,D009080
DB00773,D058065
DB01262,D058065
DB01262,D003324
DB00783,D057765
DB03843,D057765
DB00783,D000755
DB00773,D000755
DB03843,D000755
DB01262,D000755
DB01262,D010051
DB01262,D058186
DB01262,D002289
DB00467,D054058
DB00783,D054058
DB00773,D054058
DB03843,D054058
DB01262,D054058
DB01262,D008545
DB00783,D004938
DB00773,D004938
DB03843,D004938
DB01262,D004938
DB04224,D003110
DB01006,D003110
DB04224,D010024
DB01006,D010024
DB04224,D006528
DB01006,D006528
DB04224,D001022
DB01169,D001022
DB01262,D001022
DB01006,D001022
DB00169,D001022
DB04224,D009203
DB01006,D009203
DB04224,D004719
DB00783,D004719
DB03843,D004719
