DrugBankID,DiseaseID
DB01128,D009103
DB01128,D009133
DB01128,D020388
DB01128,D009190
DB01128,D009203
DB01128,D015428
DB01128,D000077274
DB01128,D009447
DB01128,D019636
DB01128,D065626
DB01128,D009765
DB01128,D010001
DB01128,D010003
DB01128,D010024
DB01128,D012516
DB01128,D010051
DB01128,D010190
DB01128,D010300
DB01128,D020371
DB01128,D010534
DB01128,D010911
DB01128,D010922
DB01128,D058226
DB01128,D011014
DB01128,D011085
DB01128,D011230
DB01128,D054198
DB01128,D011225
DB01128,D011470
DB01128,D011471
DB01128,D064129
DB01128,D029424
DB01128,D011658
DB01128,D015427
DB01128,D012128
DB01128,D012164
DB01128,D012175
DB01128,D012509
DB01128,D012559
DB01128,D018805
DB01128,D013119
DB01128,D000077195
DB01128,D013272
DB01128,D013274
DB01128,D000077273
DB01128,D013964
DB01128,D013981
DB01128,D014029
DB01128,D014277
DB01128,D064726
DB01128,D014397
DB01128,D001749
DB01128,D002583
DB01128,D014652
DB01128,D014947
DB00169,D000026
DB00169,D000163
DB00169,D054058
DB00169,D058186
DB00169,D000077192
DB00169,D000236
DB00169,D000437
DB00169,D000544
DB00169,D000690
DB00169,D000755
DB00169,D001008
DB00169,D017544
DB00169,D017545
DB00169,D001022
DB00169,D015535
DB00169,D001172
DB00169,D001249
DB00169,D050197
DB00169,D001281
DB00169,D001327
DB00169,D053713
DB00169,D002545
DB00169,D001943
DB00169,C537017
DB00169,D002280
DB00169,D006528
DB00169,D002278
DB00169,D002289
DB00169,D000077216
DB00169,D002292
DB00169,D002294
DB00169,D002295
DB00169,D002296
DB00169,D006332
DB00169,D009202
DB00169,D066126
DB00169,D002318
DB00169,D002386
DB00169,D002446
DB00169,D016543
DB00169,D002561
DB00169,D018281
DB00169,D002779
DB00169,D055113
DB00169,D002972
DB00169,D019970
DB00169,D003072
DB00169,D003110
DB00169,D015179
DB00169,D003323
DB00169,D003324
DB00169,D003327
DB00169,D000086382
DB00169,D003424
DB00169,D003865
DB00169,D003872
DB00169,D003876
DB00169,D002658
DB00169,D016640
DB00169,D003920
DB00169,D003922
DB00169,D003924
DB00169,D058065
DB00169,D003928
DB00169,D003930
DB00169,D004314
DB00169,D050171
DB00169,D020964
DB00169,D016889
DB00169,D004715
DB00169,D004719
DB00169,D020345
DB00169,D004806
DB00169,D004827
DB00169,D004833
DB00169,D004938
DB00169,D000077277
DB00169,D000075222
DB00169,D063647
DB00169,D005317
DB00169,D005355
DB00169,D005706
DB00169,D005757
DB00169,D005909
DB00169,D005910
DB00169,D005922
DB00169,D015433
DB00169,D006223
DB00169,D006323
DB00169,D006333
DB00169,D006509
DB00169,D006526
DB00169,D006949
DB00169,D006967
DB00169,D006973
DB00169,D006976
DB00169,D017379
DB00169,D000860
DB00169,D054990
DB00169,D007246
DB00169,D007248
DB00169,D007249
DB00169,D015212
DB00169,D007333
DB00169,D055959
DB00169,D007511
DB00169,D000083242
DB00169,D007674
DB00169,D007938
DB00169,D015451
DB00169,D015459
DB00169,D015470
DB00169,D020961
DB00169,D008103
DB00169,D008107
DB00169,D008113
DB00169,D008171
DB00169,D055370
DB00169,D008175
DB00169,D008180
DB00169,D008223
DB00169,D016393
DB00169,D016403
DB00169,D008228
DB00169,D008268
DB00169,D008269
DB00169,D008288
DB00169,D008527
DB00169,D008545
DB00169,D001523
DB00169,D008659
DB00169,D024821
DB00169,D009062
DB00169,D052016
DB00169,D009101
DB00169,D009103
DB00169,D009133
DB00169,D020388
DB00169,D009190
DB00169,D009203
DB00169,D015428
DB00169,D000077274
DB00169,D009447
DB00169,D019636
DB00169,D065626
DB00169,D009765
DB00169,D010001
DB00169,D010003
DB00169,D010024
DB00169,D012516
DB00169,D010051
DB00169,D010182
DB00169,D010190
DB00169,D010300
DB00169,D010534
DB00169,D010911
DB00169,D010922
DB00169,D058226
DB00169,D011014
DB00169,D011085
DB00169,D011230
DB00169,D054198
DB00169,D011236
DB00169,D011225
DB00169,D011471
DB00169,D064129
DB00169,D029424
DB00169,D011655
DB00169,D011658
DB00169,D015427
DB00169,D012128
DB00169,D012164
DB00169,D012175
DB00169,D012509
DB00169,D012559
DB00169,D012595
DB00169,D018805
DB00169,D013119
DB00169,D000077195
DB00169,D013274
DB00169,D000072660
DB00169,D013921
DB00169,D013964
DB00169,D014029
DB00169,D014277
DB00169,D064726
DB00169,D014376
DB00169,D001749
DB00169,D002583
DB00169,C536494
DB00169,D014652
DB00169,D014947
DB00907,D000026
DB00907,D000163
DB00907,D054058
DB00907,D058186
DB00907,D000077192
DB00907,D000236
DB00907,D000437
DB00907,D000544
DB00907,D000690
DB00907,D000755
DB00907,D001008
DB00907,D017544
DB00907,D017545
DB00907,D001022
DB00907,D015535
DB00907,D001172
DB00907,D001249
DB00907,D050197
DB00907,D001281
DB00907,D001289
DB00907,D001327
DB00907,D056735
DB00907,D053713
DB00907,D017086
DB00907,D002545
DB00907,D001943
DB00907,D002280
DB00907,D006528
DB00907,D002289
DB00907,D000077216
DB00907,D002292
DB00907,D002294
DB00907,D002295
DB00907,D006332
DB00907,D009202
DB00907,D066126
DB00907,D002318
DB00907,D002357
DB00907,D002386
DB00907,D002446
DB00907,D002561
DB00907,D018281
DB00907,D002779
DB00907,D002972
DB00907,D019970
DB00907,D003072
DB00907,D060825
DB00907,D003110
DB00907,D015179
DB00907,D003323
DB00907,D003324
DB00907,D003327
DB00907,D000086382
DB00907,D003424
DB00907,D003865
DB00907,D003872
DB00907,D003876
DB00907,D002658
DB00907,D016640
DB00907,D003920
DB00907,D003922
DB00907,D003924
DB00907,D058065
DB00907,D003928
DB00907,D003930
DB00907,D004314
DB00907,D020964
DB00907,D016889
DB00907,D004715
DB00907,D004719
DB00907,D020345
DB00907,D004806
DB00907,D004827
DB00907,D004833
DB00907,D004938
DB00907,D000077277
DB00907,D000075222
DB00907,D065627
DB00907,D063647
DB00907,D005317
DB00907,D005355
DB00907,D005706
DB00907,D005757
DB00907,D005909
DB00907,D005910
DB00907,D005922
DB00907,D014890
DB00907,D006223
DB00907,D006323
DB00907,D006333
DB00907,D006402
DB00907,D006509
DB00907,D006526
DB00907,D006689
DB00907,D006949
DB00907,D006967
DB00907,D006973
DB00907,D006976
DB00907,D017379
DB00907,D000860
DB00907,D054990
DB00907,D007246
DB00907,D007248
DB00907,D007249
DB00907,D015212
DB00907,D058922
DB00907,D007333
DB00907,D055959
DB00907,D007511
DB00907,D000083242
DB00907,D007674
DB00907,D007938
DB00907,D015451
DB00907,D015459
DB00907,D015464
DB00907,D015470
DB00907,D020961
DB00907,D008103
DB00907,D008107
DB00907,D008113
DB00907,D008171
DB00907,D055370
DB00907,D008175
DB00907,D008180
DB00907,D008223
DB00907,D016403
DB00907,D008228
DB00907,D008268
DB00907,D008269
DB00907,D008288
DB00907,D008527
DB00907,D008545
DB00907,D001523
DB00907,D008659
DB00907,D024821
DB00907,D009062
DB00907,D052016
DB00907,D009101
DB00907,D009103
DB00907,D009133
DB00907,D020388
DB00907,D009157
DB00907,D009190
DB00907,D009203
DB00907,D015428
DB00907,D000077274
DB00907,D018218
DB00907,D009442
DB00907,D009447
DB00907,D019636
DB00907,D009456
DB00907,D065626
DB00907,D009765
DB00907,D009767
DB00907,D010001
DB00907,D010003
DB00907,D020370
DB00907,D010024
DB00907,D012516
DB00907,D010051
DB00907,D010182
DB00907,D010190
DB00907,D050500
DB00907,D010300
DB00907,D020371
DB00907,D010518
DB00907,D010534
DB00907,D010911
DB00907,D010922
DB00907,D058226
DB00907,D011014
DB00907,D011085
DB00907,D011230
DB00907,D054198
DB00907,D011225
DB00907,D011470
DB00907,D011471
DB00907,D000081029
DB00907,D029424
DB00907,D011655
DB00907,D011658
DB00907,D011832
DB00907,D015427
DB00907,D012128
DB00907,D012164
DB00907,D012173
DB00907,D012509
DB00907,D012559
DB00907,D012595
DB00907,D018805
DB00907,D012859
DB00907,D013119
DB00907,D000077195
DB00907,D013274
DB00907,D000072660
DB00907,D013921
DB00907,D000077273
DB00907,D013964
DB00907,D013981
DB00907,D014029
DB00907,D014277
DB00907,D064726
DB00907,D014397
DB00907,D001749
DB00907,D053201
DB00907,D002583
DB00907,D014605
DB00907,D014652
DB00907,D014657
DB00907,D014947
DB01262,D000026
DB01262,D000163
DB01262,D054058
DB01262,D058186
DB01262,D000077192
DB01262,D000236
DB01262,D000437
DB01262,D000544
DB01262,D000690
DB01262,D000755
DB01262,D001008
DB01262,D017544
DB01262,D017545
DB01262,D001022
DB01262,D015535
DB01262,D001172
DB01262,D001249
DB01262,D050197
DB01262,D001281
DB01262,D001289
DB01262,D001327
DB01262,D056735
DB01262,D053713
DB01262,D017086
DB01262,D001661
DB01262,D002545
DB01262,D001943
DB01262,C537017
DB01262,D002280
DB01262,D006528
DB01262,D002278
DB01262,D002289
DB01262,D000077216
DB01262,D002292
DB01262,D002294
DB01262,D002295
DB01262,D002296
DB01262,D006332
DB01262,D009202
DB01262,D066126
DB01262,D002318
DB01262,D002357
DB01262,D002386
DB01262,D002446
DB01262,D016543
DB01262,D002561
DB01262,D018281
DB01262,D002779
DB01262,D055113
DB01262,D002972
DB01262,D019970
DB01262,D003072
DB01262,D060825
DB01262,D003110
DB01262,D015179
DB01262,D003323
DB01262,D003324
DB01262,D003327
DB01262,D000086382
DB01262,D003424
DB01262,D003865
DB01262,D003872
DB01262,D003876
DB01262,D002658
DB01262,D016640
DB01262,D003920
DB01262,D003922
DB01262,D003924
DB01262,D058065
DB01262,D003928
DB01262,D003930
DB01262,D004314
DB01262,D050171
DB01262,D020964
DB01262,D016889
DB01262,D004715
DB01262,D004719
DB01262,D020345
DB01262,D004769
DB01262,D004827
DB01262,D004833
DB01262,D004938
DB01262,D000077277
DB01262,D000075222
DB01262,D065627
DB01262,D005317
DB01262,D005355
DB01262,D005706
DB01262,D005757
DB01262,D005909
DB01262,D005910
DB01262,D005922
DB01262,D015433
DB01262,D006223
DB01262,D006323
DB01262,D006333
DB01262,D006402
DB01262,D006509
DB01262,D006526
DB01262,D006561
DB01262,D006566
DB01262,D006689
DB01262,D006949
DB01262,D006967
DB01262,D006973
DB01262,D006976
DB01262,D017379
DB01262,D000860
DB01262,D054990
DB01262,D007246
DB01262,D007248
DB01262,D007249
DB01262,D015212
DB01262,D058922
DB01262,D007333
DB01262,D055959
DB01262,C535531
DB01262,D007511
DB01262,D000083242
DB01262,D007674
DB01262,D007938
DB01262,D015451
DB01262,D015459
DB01262,D015464
DB01262,D015470
DB01262,D020961
DB01262,D008103
DB01262,D008107
DB01262,D008113
DB01262,D008171
DB01262,D055370
DB01262,D008175
DB01262,D008180
DB01262,D008223
DB01262,D016393
DB01262,D016403
DB01262,D008228
DB01262,D008268
DB01262,D008269
DB01262,D008288
DB01262,D008527
DB01262,D008545
DB01262,D001523
DB01262,D008659
DB01262,D024821
DB01262,D009062
DB01262,D009080
DB01262,D052016
DB01262,D009101
DB01262,D009103
DB01262,D009133
DB01262,D020388
DB01262,D009157
DB01262,D009190
DB01262,D009203
DB01262,D015428
DB01262,D000077274
DB01262,D009442
DB01262,D009447
DB01262,D019636
DB01262,D065626
DB01262,D009765
DB01262,D009767
DB01262,D010001
DB01262,D010003
DB01262,D020370
DB01262,D010024
DB01262,D012516
DB01262,D010051
DB01262,D010182
DB01262,D010190
DB01262,D010300
DB01262,D020371
DB01262,D010518
DB01262,D010534
DB01262,D010911
DB01262,D010922
DB01262,D058226
DB01262,D011014
DB01262,D011085
DB01262,D011230
DB01262,D054198
DB01262,D011225
DB01262,D011470
DB01262,D011471
DB01262,D064129
DB01262,D000081029
DB01262,D029424
DB01262,D011655
DB01262,D011658
DB01262,D011832
DB01262,D015427
DB01262,D012128
