0	0	0	1
1	0	0	1
2	0	0	1
3	0	0	1
4	0	0	1
5	0	0	1
6	0	0	1
0	0	1	1
1	0	1	1
2	0	1	1
7	0	1	1
3	0	1	1
4	0	1	1
5	0	1	1
6	0	1	1
0	0	2	1
1	0	2	1
2	0	2	1
3	0	2	1
4	0	2	1
5	0	2	1
6	0	2	1
0	0	3	1
1	0	3	1
2	0	3	1
3	0	3	1
4	0	3	1
5	0	3	1
6	0	3	1
0	0	4	1
1	0	4	1
2	0	4	1
3	0	4	1
4	0	4	1
5	0	4	1
0	0	5	1
1	0	5	1
2	0	5	1
7	0	5	1
3	0	5	1
4	0	5	1
5	0	5	1
6	0	5	1
0	0	6	1
1	0	6	1
2	0	6	1
3	0	6	1
4	0	6	1
5	0	6	1
6	0	6	1
0	0	7	1
1	0	7	1
2	0	7	1
7	0	7	1
3	0	7	1
4	0	7	1
5	0	7	1
6	0	7	1
0	0	8	1
1	0	8	1
2	0	8	1
3	0	8	1
4	0	8	1
5	0	8	1
6	0	8	1
0	0	9	1
1	0	9	1
2	0	9	1
3	0	9	1
4	0	9	1
5	0	9	1
6	0	9	1
0	0	10	1
0	0	11	1
0	0	12	1
1	0	12	1
3	0	12	1
0	0	13	1
0	0	14	1
1	0	14	1
2	0	14	1
3	0	14	1
4	0	14	1
5	0	14	1
6	0	14	1
0	0	15	1
1	0	15	1
2	0	15	1
3	0	15	1
4	0	15	1
5	0	15	1
6	0	15	1
0	0	16	1
1	0	16	1
2	0	16	1
3	0	16	1
4	0	16	1
5	0	16	1
0	0	17	1
1	0	17	1
2	0	17	1
3	0	17	1
4	0	17	1
5	0	17	1
6	0	17	1
0	0	18	1
1	0	18	1
2	0	18	1
3	0	18	1
4	0	18	1
5	0	18	1
6	0	18	1
0	0	19	1
1	0	19	1
2	0	19	1
3	0	19	1
4	0	19	1
5	0	19	1
6	0	19	1
0	0	20	1
1	0	20	1
2	0	20	1
7	0	20	1
3	0	20	1
4	0	20	1
5	0	20	1
6	0	20	1
0	0	21	1
1	0	21	1
2	0	21	1
3	0	21	1
4	0	21	1
5	0	21	1
6	0	21	1
2	0	22	1
4	0	22	1
5	0	22	1
0	0	23	1
1	0	23	1
2	0	23	1
3	0	23	1
4	0	23	1
5	0	23	1
6	0	23	1
0	0	24	1
1	0	24	1
2	0	24	1
3	0	24	1
4	0	24	1
5	0	24	1
6	0	24	1
0	0	25	1
1	0	25	1
2	0	25	1
3	0	25	1
4	0	25	1
5	0	25	1
6	0	25	1
0	0	26	1
1	0	26	1
2	0	26	1
7	0	26	1
3	0	26	1
4	0	26	1
5	0	26	1
6	0	26	1
0	0	27	1
1	0	27	1
2	0	27	1
7	0	27	1
3	0	27	1
4	0	27	1
5	0	27	1
6	0	27	1
0	0	28	1
1	0	28	1
2	0	28	1
3	0	28	1
4	0	28	1
5	0	28	1
6	0	28	1
0	0	29	1
1	0	29	1
4	0	29	1
5	0	29	1
6	0	29	1
0	0	30	1
1	0	30	1
2	0	30	1
3	0	30	1
4	0	30	1
5	0	30	1
6	0	30	1
0	0	31	1
1	0	31	1
2	0	31	1
7	0	31	1
3	0	31	1
4	0	31	1
